id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32984,Rental unit in Stockholm · ★4.23 · 1 bedroom · 1 bed · 1 bath,53396,Chris,,Kungsholmens,59.32779,18.04998,Entire home/apt,1408,40,24,2016-06-28,0.15,1,320,0,
164448,Rental unit in Stockholm · ★4.86 · 2 bedrooms · 2 beds · 1 shared bath,784312,Li,,Södermalms,59.31389,18.06087,Private room,954,3,372,2023-06-19,2.56,2,134,42,
170651,Condo in Stockholm · ★4.71 · 1 bedroom · 2 beds · 1.5 baths,814021,Marie,,Södermalms,59.31702,18.02946,Entire home/apt,1168,3,46,2023-05-13,0.32,1,295,5,
220851,Rental unit in Stockholm · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,412283,Fredric,,Kungsholmens,59.33351,18.03693,Private room,600,3,62,2023-06-12,0.43,1,291,5,
238411,Rental unit in Stockholm · ★4.79 · 1 bedroom · 2 beds · 1 bath,1250232,Mia,,Norrmalms,59.33872,18.05131,Entire home/apt,1299,1,111,2016-12-13,0.79,1,27,0,
242188,Rental unit in Stockholm · ★4.89 · 2 bedrooms · 1 bed · 1 shared bath,784312,Li,,Södermalms,59.31198,18.06076,Private room,800,2,374,2023-06-21,2.70,2,59,42,
274876,Rental unit in Stockholm · ★4.96 · 3 bedrooms · 3 beds · 1 bath,1437153,Emma,,Södermalms,59.31251981515274,18.092256045255645,Entire home/apt,3892,3,116,2020-01-04,0.85,1,153,0,
281004,Rental unit in Stockholm · ★4.89 · 1 bedroom · 2 beds · 1 bath,1225201,Marietta,,Hägersten-Liljeholmens,59.31038,18.02618,Entire home/apt,889,3,18,2023-06-24,0.13,1,217,10,
299154,Rental unit in Stockholm · ★4.63 · 1 bedroom · 2 beds · 1 bath,1541953,Daniel,,Södermalms,59.31846,18.07042,Entire home/apt,1011,2,594,2023-06-24,4.86,1,146,38,
299863,Rental unit in Stockholm · ★4.49 · 1 bedroom · 1 bed · 1 bath,1322033,Anna,,Hägersten-Liljeholmens,59.30318,17.99521,Private room,500,2,52,2023-06-26,0.38,4,207,15,
301680,Home in Långbro · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,1554143,Anitta,,Älvsjö,59.27635,17.99165,Private room,750,1,36,2022-04-29,0.27,2,365,0,
302496,Rental unit in Norrmalm · ★4.96 · 3 bedrooms · 6 beds · 2 baths,1557657,Seta,,Norrmalms,59.34685,18.06056,Entire home/apt,3000,5,86,2023-06-19,0.64,1,274,8,
313195,Rental unit in Stockholm · ★4.79 · 1 bedroom · 2 beds · 1 bath,956221,David,,Norrmalms,59.34737,18.04984,Entire home/apt,1983,1,102,2023-06-25,0.77,1,16,56,
313763,Loft in Stockholm · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,1533849,Martin P.,,Norrmalms,59.34283,18.0493,Private room,430,3,51,2019-09-26,0.38,1,0,0,
357012,Condo in Stockholm · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,1214515,Carl,,Södermalms,59.31865,18.03956,Entire home/apt,2771,3,22,2022-08-07,0.16,1,34,3,
380611,Rental unit in Rågsved · ★4.24 · 1 bedroom · 2 beds · 2 shared baths,1322033,Anna,,Enskede-Årsta-Vantörs,59.25357,18.02841,Private room,370,3,29,2019-08-23,0.21,4,364,0,
385701,Townhouse in Stockholm · ★4.13 · 4 bedrooms · 5 beds · 1.5 baths,1930434,Alex,,Farsta,59.25094,18.09676,Entire home/apt,1100,10,8,2022-08-05,0.08,1,3,1,
438129,Townhouse in Hagsätra · ★4.80 · 1 bedroom · 1 bed · 2 shared baths,914316,Ea,,Enskede-Årsta-Vantörs,59.26424,18.02277,Private room,350,1,30,2023-06-03,0.22,2,303,7,
442837,Rental unit in Stockholm · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,2200827,Jo,,Hägersten-Liljeholmens,59.310410933554515,18.02404045094815,Private room,806,3,99,2023-06-07,0.73,1,22,3,
451155,Home in Stockholm · ★4.65 · 3 bedrooms · 3 beds · 1 bath,2240860,Malin,,Enskede-Årsta-Vantörs,59.28003,18.05527,Entire home/apt,2200,3,25,2022-07-24,0.19,1,23,1,
475409,Rental unit in Stockholm · ★4.54 · 1 bedroom · 1 bed · 1 shared bath,2356697,Cor,,Södermalms,59.31412,18.08274,Private room,537,3,44,2017-06-29,0.33,1,210,0,
514133,Rental unit in Stockholm · ★4.92 · 1 bedroom · 2 beds · 1 bath,2532579,Mira,,Norrmalms,59.33992,18.04361,Entire home/apt,1607,1,13,2023-06-16,0.11,2,285,8,
533880,Rental unit in Stockholm · ★4.78 · 1 bedroom · 1 bed · Shared half-bath,2624450,Jarl,,Östermalms,59.34412,18.08957,Private room,647,10,105,2018-08-08,0.78,1,0,0,
536691,Rental unit in Stockholm · ★4.63 · 1 bedroom · 1 bed,2636194,Cecilia,,Södermalms,59.31863,18.05503,Entire home/apt,1179,4,91,2023-06-14,0.68,1,251,3,
539747,Villa in Skarpnäcks Gård · 3 bedrooms · 3 beds · 2.5 baths,2651868,Helena,,Skarpnäcks,59.2783119,18.1181517,Entire home/apt,2150,6,0,,,1,95,0,
556363,Loft in Stockholm · ★4.60 · Studio · 2 beds · 1.5 baths,2735709,Lennard,,Norrmalms,59.34171,18.03712,Entire home/apt,800,6,45,2022-02-25,0.45,1,9,0,
560308,Rental unit in Stockholm · ★4.67 · 2 bedrooms · 3 beds · 1 bath,2755002,Checkin,,Bromma,59.33536,17.97669,Entire home/apt,1760,20,13,2022-10-13,0.10,3,211,5,
565912,Villa in Stockholm · ★4.77 · 3 bedrooms · 4 beds · 2 baths,2782963,Patrik,,Hägersten-Liljeholmens,59.31711,18.00519,Entire home/apt,3530,5,22,2023-06-29,0.18,1,4,1,
568341,Rental unit in Stockholm · ★4.71 · 1 bedroom · 1 bed · 1 bath,2755002,Checkin,,Kungsholmens,59.33583,18.02983,Entire home/apt,1409,2,24,2023-06-26,0.26,3,287,19,
581243,Rental unit in Stockholm · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,2860556,Edwin,,Östermalms,59.33894,18.0919,Private room,500,1,698,2023-06-19,5.23,1,3,68,
708979,Rental unit in Johanneshov · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,1842108,Samuel,,Skarpnäcks,59.292661,18.11225,Entire home/apt,556,14,7,2018-07-29,0.05,1,1,0,
748847,Rental unit in Stockholm · ★4.78 · 2 bedrooms · 3 beds · 1 bath,3934547,Heath,,Södermalms,59.31544,18.0755,Entire home/apt,1295,75,19,2021-06-04,0.15,1,219,0,
755843,Rental unit in Stockholm · ★4.79 · 1 bedroom · 4 beds · 2 baths,3978910,Pär,,Kungsholmens,59.32881,18.03559,Entire home/apt,1533,2,161,2023-06-04,1.74,1,206,24,
763407,Rental unit in Stockholm · ★4.94 · 3 bedrooms · 3 beds · 1 bath,3549257,Gabriella,,Norrmalms,59.34489,18.05216,Entire home/apt,1850,3,100,2023-05-21,0.80,1,19,4,
770995,Rental unit in Stockholm · ★4.88 · 3 bedrooms · 3 beds · 1 bath,4067436,Peter,,Kungsholmens,59.32881,18.04668,Entire home/apt,4150,5,16,2023-05-07,0.19,1,352,1,
776155,Loft in Stockholm · ★5.0 · 1 bedroom · 1 bed · 1 bath,3963441,Ann-Sofie,,Norrmalms,59.34353,18.05081,Entire home/apt,1800,5,22,2018-10-09,0.17,1,87,0,
785218,Home in Stockholm · ★4.94 · 3 bedrooms · 6 beds · 1 bath,4139711,Fredrik,,Kungsholmens,59.32142,17.99469,Entire home/apt,1929,5,17,2022-08-15,0.14,1,232,5,
810344,Rental unit in Stockholm · ★4.79 · 1 bedroom · 1 bed · 1 bath,3189338,Lisa,,Östermalms,59.33591,18.08483,Entire home/apt,1700,5,135,2023-02-20,1.08,1,309,12,
822497,Rental unit in Hägerstensåsen · ★4.82 · 2 bedrooms · 3 beds · 1.5 baths,4319402,Moa,,Hägersten-Liljeholmens,59.29788,17.98505,Entire home/apt,1450,3,45,2023-06-19,0.36,1,180,5,
838442,Rental unit in Stockholm · ★4.61 · 1 bedroom · 6 beds · 1 bath,4380521,Joakim,,Norrmalms,59.33593,18.05542,Entire home/apt,2329,1,64,2023-06-10,0.72,3,248,13,
840600,Rental unit in Stockholm · ★4.91 · Studio · 1 bed · 1.5 shared baths,4390012,Anna,,Kungsholmens,59.33633,18.03002,Private room,790,4,118,2023-06-04,0.97,1,37,15,
845365,Rental unit in Bredäng · ★4.55 · Studio · 3 beds · 1 shared bath,4174933,Michael Erik & Mae Jane,,Skärholmens,59.29578,17.92813,Private room,280,1,29,2018-07-09,0.27,1,70,0,
858902,Rental unit in Stockholm · ★4.74 · 1 bedroom · 1 bed · 1.5 baths,4495747,Lotta,,Östermalms,59.33884,18.08536,Private room,810,3,42,2023-06-15,0.34,1,5,6,
873178,Rental unit in Stockholm · 1 bedroom · 2 beds · 1 bath,4592458,Linéa,,Södermalms,59.3134,18.06872,Entire home/apt,1500,1,0,,,1,52,0,
884403,Rental unit in Stockholm · ★4.82 · 1 bedroom · 1 bed · 1 bath,779150,Henrik,,Södermalms,59.307583,18.080265,Entire home/apt,1299,5,54,2022-06-25,0.43,1,326,0,
897584,Rental unit in Stockholm · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,1552575,Viveka,,Hägersten-Liljeholmens,59.30091,17.99012,Entire home/apt,550,3,46,2023-01-01,0.36,1,0,1,
